Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.18072719999998,2.70170000000000,3.40610000000000,0,Composed: Copy with GPU GDI,6.94560000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.18683529999998,0.85120000000000,6.10810000000000,0,Composed: Copy with GPU GDI,4.53550000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.19014870000001,1.24290000000000,3.31340000000000,0,Composed: Copy with GPU GDI,4.94030000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,0,507.19351780000000,1.59230000000000,3.36910000000000,0,Composed: Copy with GPU GDI,5.24910000000000,18.98190000000000,13.34150000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.19704050000001,1.74970000000000,3.52270000000000,0,Composed: Copy with GPU GDI,6.09460000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.20068909999998,2.47230000000000,3.64860000000000,0,Composed: Copy with GPU GDI,6.16360000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,0,507.20411469999999,2.76430000000000,3.42560000000000,0,Composed: Copy with GPU GDI,6.42630000000000,21.72800000000000,13.34300000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.20809770000000,2.46970000000000,3.98300000000000,0,Composed: Copy with GPU GDI,6.73000000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.21156100000002,3.28570000000000,3.46330000000000,0,Composed: Copy with GPU GDI,6.96270000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,0,507.21920999999998,0.03360000000000,7.64900000000000,0,Composed: Copy with GPU GDI,3.37290000000000,19.97110000000000,13.33840000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.22247929999997,0.12020000000000,3.26930000000000,0,Composed: Copy with GPU GDI,4.57760000000000,0.00000000000000,0.00000000000000
dota2.exe,6868,0x0000019E19B58EF0,DXGI,0,0,1,507.22604460000002,1.03300000000000,3.56530000000000,0,Composed: Copy with GPU GDI,4.71650000000000,0.00000000000000,0.00000000000000
