Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.17064210000001,0.25160000000000,3.53300000000000,0,Composed: Copy with GPU GDI,3.98090000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.17440509999994,1.26180000000000,3.76300000000000,0,Composed: Copy with GPU GDI,4.97280000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.17803870000000,1.36240000000000,3.63360000000000,0,Composed: Copy with GPU GDI,5.11380000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.18152369999996,1.64920000000000,3.48500000000000,0,Composed: Copy with GPU GDI,5.37810000000000,19.39250000000000,13.33620000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.18497909999996,1.95320000000000,3.45540000000000,0,Composed: Copy with GPU GDI,6.32280000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.18842840000002,2.90080000000000,3.44930000000000,0,Composed: Copy with GPU GDI,6.63370000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.19441940000002,0.66140000000000,5.99100000000000,0,Composed: Copy with GPU GDI,4.38680000000000,19.83880000000000,13.34200000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.19776979999995,1.05790000000000,3.35040000000000,0,Composed: Copy with GPU GDI,5.36830000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.20133639999995,1.82960000000000,3.56660000000000,0,Composed: Copy with GPU GDI,5.54030000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.20497760000001,1.92500000000000,3.64120000000000,0,Composed: Copy with GPU GDI,5.61260000000000,22.61970000000000,13.33910000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.20838100000003,2.23360000000000,3.40340000000000,0,Composed: Copy with GPU GDI,5.93310000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.21179549999999,2.52240000000000,3.41450000000000,0,Composed: Copy with GPU GDI,6.86430000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.21548670000004,3.19530000000000,3.69120000000000,0,Composed: Copy with GPU GDI,6.95140000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.21977730000003,2.68510000000000,4.29060000000000,0,Composed: Copy with GPU GDI,6.41720000000000,21.16110000000000,13.34110000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.22673540000005,0.02860000000000,6.95810000000000,0,Composed: Copy with GPU GDI,3.98170000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.23011559999998,0.62990000000000,3.38020000000000,0,Composed: Copy with GPU GDI,4.38340000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.23352680000005,0.99870000000000,3.41120000000000,0,Composed: Copy with GPU GDI,4.72090000000000,20.74250000000000,13.33090000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.23699590000001,1.27090000000000,3.46910000000000,0,Composed: Copy with GPU GDI,5.61940000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.24071809999998,1.92300000000000,3.72220000000000,0,Composed: Copy with GPU GDI,5.64270000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.24441449999995,1.97540000000000,3.69640000000000,0,Composed: Copy with GPU GDI,5.72200000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.24775390000002,2.40910000000000,3.33940000000000,0,Composed: Copy with GPU GDI,6.13390000000000,19.85310000000000,13.33770000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.25142159999996,2.49390000000000,3.66770000000000,0,Composed: Copy with GPU GDI,6.86770000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.25518339999996,3.13350000000000,3.76180000000000,0,Composed: Copy with GPU GDI,7.14360000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.26127110000004,1.08040000000000,6.08770000000000,0,Composed: Copy with GPU GDI,4.81810000000000,19.66700000000000,13.33110000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.26461680000000,1.49740000000000,3.34570000000000,0,Composed: Copy with GPU GDI,5.86300000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.26827839999999,2.22630000000000,3.66160000000000,0,Composed: Copy with GPU GDI,5.96780000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.27173000000005,2.53880000000000,3.45160000000000,0,Composed: Copy with GPU GDI,6.27660000000000,22.55030000000000,13.34220000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.27570009999999,2.33640000000000,3.97010000000000,0,Composed: Copy with GPU GDI,6.64090000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.27914569999996,3.22270000000000,3.44560000000000,0,Composed: Copy with GPU GDI,6.92970000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.28343050000001,2.67610000000000,4.28480000000000,0,Composed: Copy with GPU GDI,6.41060000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.28720050000004,2.66200000000000,3.77000000000000,0,Composed: Copy with GPU GDI,6.39090000000000,20.43890000000000,13.35910000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.29398419999995,0.02900000000000,6.78370000000000,0,Composed: Copy with GPU GDI,4.10930000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.29738220000002,0.73370000000000,3.39800000000000,0,Composed: Copy with GPU GDI,4.46710000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.30086619999997,1.00920000000000,3.48400000000000,0,Composed: Copy with GPU GDI,4.76080000000000,20.08970000000000,13.31650000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.30443969999999,1.21200000000000,3.57350000000000,0,Composed: Copy with GPU GDI,5.61510000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.30835290000005,1.72620000000000,3.91320000000000,0,Composed: Copy with GPU GDI,5.60450000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.31194010000002,2.04810000000000,3.58720000000000,0,Composed: Copy with GPU GDI,5.88500000000000,22.36210000000000,13.34630000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.31548069999997,2.36820000000000,3.54060000000000,0,Composed: Copy with GPU GDI,6.79400000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.31897289999995,3.32490000000000,3.49220000000000,0,Composed: Copy with GPU GDI,7.14080000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,1,524.32347960000004,2.65830000000000,4.50670000000000,0,Composed: Copy with GPU GDI,6.49870000000000,0.00000000000000,0.00000000000000
dota2.exe,1156,0x00000202A47F6E80,DXGI,0,0,0,524.32941719999997,0.58440000000000,5.93760000000000,0,Composed: Copy with GPU GDI,4.39360000000000,18.22200000000000,13.33700000000000
