Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.28854560000002,1.95040000000000,3.36880000000000,0,Composed: Copy with GPU GDI,5.63970000000000,19.60920000000000,13.34270000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.29227359999999,1.93930000000000,3.72800000000000,0,Composed: Copy with GPU GDI,6.28680000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.29588410000002,2.70490000000000,3.61050000000000,0,Composed: Copy with GPU GDI,6.39190000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.29955990000002,2.73860000000000,3.67580000000000,0,Composed: Copy with GPU GDI,6.44620000000000,21.94660000000000,13.35170000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.30333610000002,2.69440000000000,3.77620000000000,0,Composed: Copy with GPU GDI,6.97290000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.30702420000000,3.31060000000000,3.68810000000000,0,Composed: Copy with GPU GDI,7.00140000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.31130990000003,2.74090000000000,4.28570000000000,0,Composed: Copy with GPU GDI,6.41520000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.31783840000003,0.02850000000000,6.52850000000000,0,Composed: Copy with GPU GDI,3.58320000000000,16.98770000000000,13.31960000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.32102440000000,0.42180000000000,3.18600000000000,0,Composed: Copy with GPU GDI,4.73530000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.32479400000000,0.99400000000000,3.76960000000000,0,Composed: Copy with GPU GDI,4.68350000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.32818540000000,1.31740000000000,3.39140000000000,0,Composed: Copy with GPU GDI,4.97670000000000,19.98260000000000,13.34190000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.33182210000001,1.36900000000000,3.63670000000000,0,Composed: Copy with GPU GDI,5.67590000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.33519430000001,2.33590000000000,3.37220000000000,0,Composed: Copy with GPU GDI,6.00430000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.33907779999998,2.14860000000000,3.88350000000000,0,Composed: Copy with GPU GDI,5.83160000000000,22.42510000000000,13.33490000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.34247090000002,2.46100000000000,3.39310000000000,0,Composed: Copy with GPU GDI,6.76000000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.34835779999997,0.89450000000000,5.88690000000000,0,Composed: Copy with GPU GDI,4.59280000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.35185650000000,1.11570000000000,3.49870000000000,0,Composed: Copy with GPU GDI,4.80700000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.35505649999999,1.63570000000000,3.20000000000000,0,Composed: Copy with GPU GDI,5.31770000000000,19.78750000000000,13.34110000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.35883650000000,1.55490000000000,3.78000000000000,0,Composed: Copy with GPU GDI,5.88160000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.36218989999998,2.55180000000000,3.35340000000000,0,Composed: Copy with GPU GDI,6.21930000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.36582550000003,2.60820000000000,3.63560000000000,0,Composed: Copy with GPU GDI,6.26530000000000,22.35760000000000,13.33910000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.36938220000002,2.73230000000000,3.55670000000000,0,Composed: Copy with GPU GDI,7.03660000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.37311720000002,3.32480000000000,3.73500000000000,0,Composed: Copy with GPU GDI,7.00430000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.37741140000003,2.73680000000000,4.29420000000000,0,Composed: Copy with GPU GDI,6.41550000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,0,423.38409630000001,0.02770000000000,6.68490000000000,0,Composed: Copy with GPU GDI,3.46050000000000,17.42280000000000,13.33600000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.38727860000000,0.30470000000000,3.18230000000000,0,Composed: Copy with GPU GDI,4.62690000000000,0.00000000000000,0.00000000000000
dota2.exe,10380,0x000002AF2D964EF0,DXGI,0,0,1,423.39074920000002,1.17500000000000,3.47060000000000,0,Composed: Copy with GPU GDI,4.86360000000000,0.00000000000000,0.00000000000000
