Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,306.22236440000000,2.86030000000000,3.82960000000000,0,Composed: Copy with GPU GDI,6.60670000000000,20.64330000000000,13.34450000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.22642270000000,2.56870000000000,4.05830000000000,0,Composed: Copy with GPU GDI,6.95330000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.23005940000002,3.33780000000000,3.63670000000000,0,Composed: Copy with GPU GDI,7.12290000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,306.23652579999998,0.67680000000000,6.46640000000000,0,Composed: Copy with GPU GDI,4.45290000000000,19.82320000000000,13.34130000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.23993630000001,1.06310000000000,3.41050000000000,0,Composed: Copy with GPU GDI,5.41050000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.24352410000000,1.84200000000000,3.58780000000000,0,Composed: Copy with GPU GDI,5.62500000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,306.24726740000000,1.89790000000000,3.74330000000000,0,Composed: Copy with GPU GDI,5.69390000000000,22.41490000000000,13.33330000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.25079090000003,2.19610000000000,3.52350000000000,0,Composed: Copy with GPU GDI,5.97500000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.25450039999998,2.83670000000000,3.70950000000000,0,Composed: Copy with GPU GDI,6.62300000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,306.25835719999998,2.78910000000000,3.85680000000000,0,Composed: Copy with GPU GDI,6.58160000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,306.26213550000000,2.82250000000000,3.77830000000000,0,Composed: Copy with GPU GDI,6.59630000000000,20.88770000000000,13.34090000000000
