Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.22015180000000,1.03500000000000,3.36730000000000,0,Composed: Copy with GPU GDI,5.41530000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.22406439999997,1.51960000000000,3.91260000000000,0,Composed: Copy with GPU GDI,5.29680000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.22772959999998,1.64240000000000,3.66520000000000,0,Composed: Copy with GPU GDI,5.39130000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,509.23130490000000,1.83220000000000,3.57530000000000,0,Composed: Copy with GPU GDI,5.58310000000000,19.49310000000000,13.34770000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.23496019999999,1.94290000000000,3.65530000000000,0,Composed: Copy with GPU GDI,6.36670000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.23861860000000,2.72370000000000,3.65840000000000,0,Composed: Copy with GPU GDI,6.52920000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,509.24239390000002,2.77930000000000,3.77530000000000,0,Composed: Copy with GPU GDI,6.57670000000000,21.73910000000000,13.33500000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.24803480000003,0.95840000000000,5.64090000000000,0,Composed: Copy with GPU GDI,5.32670000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.25133039999997,2.05430000000000,3.29560000000000,0,Composed: Copy with GPU GDI,6.06220000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,509.25485090000001,2.56400000000000,3.52050000000000,0,Composed: Copy with GPU GDI,6.44990000000000,22.61850000000000,13.33640000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.25845930000003,2.75750000000000,3.60840000000000,0,Composed: Copy with GPU GDI,7.18830000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.26233350000001,3.33530000000000,3.87420000000000,0,Composed: Copy with GPU GDI,7.10170000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.26661669999999,2.84490000000000,4.28320000000000,0,Composed: Copy with GPU GDI,6.59670000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,0,509.27041650000001,2.81870000000000,3.79980000000000,0,Composed: Copy with GPU GDI,6.57900000000000,20.39120000000000,13.33830000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.27423420000002,2.78150000000000,3.81770000000000,0,Composed: Copy with GPU GDI,7.07540000000000,0.00000000000000,0.00000000000000
dota2.exe,4380,0x000001A88C7E50C0,DXGI,0,0,1,509.28088860000003,0.44270000000000,6.65440000000000,0,Composed: Copy with GPU GDI,4.40640000000000,0.00000000000000,0.00000000000000
